Video Title,View Count,Like Count (of video),Comment Count,Text Display,Author Display Name,Like Count (of comment),Reply Count (of comment)
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,really think kpop scene making lot better sound style american pop collaborating various talente global song writer musician like song sound new experimental never heard american music scene grammy giving award shitty breaking song ugly old lady,@enceladus9502,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,lleguemos meta eta 100m,@usuario123usuario,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,sonido quiero poner tono llamada,@usuario123usuario,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ここがすき,@user-dh1ro3px6v,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,635m álbum debut superado 1200b reproducciones spoty primer proyecto debut grupo kpop hacerlo integrantes enhypen tararearon cool weverse vivo,@lizzyoregel5841,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,maravilhosas,@Jessica-yr6qx,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,한국인 찾는 사람 손들어줘 뉴진스언니들 사랑하는 한국인 얼만큼이냐,@bichbyeol,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,minute,@TheSatanicGamerFromHell,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,つまんね,@user-kl9mw4pq2w,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,heavy baltimore club music inspired,@Patrick_Quan,4,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,633m nj primer grupo kpop femenino historia clasificarse dentro top 2das general lista anual global artistas ma importantes mundo nj ocupa puesto número 8ben lista global artistas ma vendidos nj ew primer grupo femenino historia top charr anual artistas globales ep get permanece lista billboard álbumes mundiales puesto aun me después lanzamiento,@lizzyoregel5841,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,っtっf,@tl201,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,newjeans mejor grupo toda industria,@nosuw,5,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,love vibe,@user-st4zm3zu7r,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,people million,@komalpreetkaur6557,4,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,bro newjeans cute,@alisson4924,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,love,@narutoxyff6467,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,great song,@dimitri8706,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,sii bibi mencionó nj episodio servicio leemujin dijo único grupo chicas novato dominó oas listas billboard nj danielle hizo challenge sweet venom niki enhypen,@lizzyoregel5841,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,김홍남씨 소개로 왔습니다,@user-jw6lp5wo6i,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,内容はよくわからないけど曲調だけじゃなくてむしろダンスにもなんか中毒性あって聞きに来てる,@user-dq9qc8gx9z,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,omg minji caught guard mv,@MittensJourney27,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,uff buena canción,@fenixsaya4ever,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,632m nj firmó recientemente contrato publicitario calvin klein modelaran partir temporada primaveraverano super shy ahora canción número mayor reproducciones grupo femenino kpop nj primer lugar semanas grupo chicas lista ma semanas acumuladas wn billboard global canción iu colaboración hyein minutos estreno llegó melon puesto,@lizzyoregel5841,4,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,new jean siempre dijo,@Jan-qh9dc,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,я просто хочу чтобы они выпускали песни как раньше музыка из альбома get мне не зашла вообще,@livilovegood,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,premiered jul always love newjeans,@kimayapandya2328,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,mv genius,@reyphobic,5,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,このいかにもスマホで撮りましたみたいな感じのmvの質感が逆にいい味出してる気がする,@user-ph7vp9eh3t,2,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,63m nj ganó premio artista año hanteo music award nj puesto youtube coreaartists principal semana semana consecutiva número top miembros grupo tws bailaron omg primera fan party,@lizzyoregel5841,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,shot iphone pro ah thats mv 4k fr love newjeans,@Hyunatic,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,encanta cancion ameeeeeeeeeeeeeeeeeeeeeeeeeeee muyyyyyyy guapa haerin,@user-gk2zx4uc3x,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,찾는 맛,@minjung_2120,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,bunny let go 100m,@beforeshedriftsaway2003,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,bái này quá nhưng ỳ nghĩa của nó làm tôi hơi sợ,@ersdd878,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,지금까지 이런스타일의 걸그룹이 없었는데 새로운걸 창조했다,@nakeaastuio-le6ou,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,go hyein go hyein,@user-st4zm3zu7r,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,whats ur eta,@user-st4zm3zu7r,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,그랬을까 하이브 국적,@suheearn375,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,미안히다 뉴진스는 한국인이 아니다 한국인은 아이브 좋아해,@suheearn375,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ive heard new jean song one absolute favorite song lyric choreography great wish could dance id love learn choreo,@marquelalexander6799,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,kang haerin merry mei love ecuador,@Min_JohnKenneth1733,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,go 63m,@Brightmoonzy,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,amo essa parte,@Brightmoonzy,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,boy always lying,@whoisan22,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,newjeans love,@user-pq8zf6uj9s,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ranking reputación miembros femeninos febrero 4hanni 8haerin 16danielle 17hyein 27minji nj ahora 12mo grupo kpop ma seguido spoty 5to grupo femenino nj 8vo lugar artista kpop ma trabsmitido spoty tiempos,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,like new jean black pink queen hate,@saisahasra827,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,hearing yall eating hey,@Agatsumazenitsuuu,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,love sm omfghhgg,@katanari,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,felicidades haerin lista mejores idol 4ta generación vogue corea presenta edición especial2024 woman centrum mujeres representan generación contemporáneamujeres derribaron fronteras hyein lista herworldsg mejores look ayudaron nj dominar dijeron grupo vio grupo chicas kpop nj convertirse sensaciones pop mundial demostrado ser persona seguir industria ka música moda aunque cada miembro propio estilo personal talento estilista grupo choi yumi consolidado nj grupo vanguardista vistiendolas atrevidos atuendos escenicosz elegantes look premios conjuntos coherentes video musicales,@lizzyoregel5841,5,3
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,빛났지만 혜린이 어쩔,@user-uz5om4vp8r,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,eta,@Sggee1,0,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,whats eta whats eta,@daniloveu_,7,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,628m nj ahora supera 10b transmisiones toda principales plataformas audio sexto artista kpop ma str3am nj superado 53m copias vendidas circle chart álbumes canciones mayor duración kpop grupos chicas apple music global top chart 1ditto 2omg 4hype boy,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,ワタクシの父は57でしんだが jr東海の労働組合や あチョイ盛りしてもた 下請けの車両整備や,@Sakanadane,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,듣는인원체크한다 뉴진스언니들 사랑하는 팬들 얼만큼이냐,@bichbyeol,4,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,song energetic really help concentrate anything,@nodinnerdinner,7,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,summer vibe,@user-li5nf8nz4f,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,sii ditto rompe empate love twice ahora 3ra canción grupo femenino kpop mayor duración semanas contando billboard japón hot asap supera 90m spoty ep get convierte único álbum kpop tener toda canciones pasan 90m nj superado 300m reproducciones spoty primer grupo femenino superar marca año,@lizzyoregel5841,1,1
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,gora eta militarra,@diegowert3492,1,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,alarm triggered nervous system bad,@daphnearroyo7735,1,2
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,confess eva confess,@hampaslupangpotograper,2,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,新たに気になる子を見つけてしまった 私達から見て右側に映ってる猫ちゃん似の赤い衣装の方の名前も知りたいです 猫顔の子大好きなんです,@user-qo6nl8pt9y,0,2
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,love song,@user-nz1up9uq3x,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,こんばんはbunnies,@user-Hyerin977,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,fu theyre gorgeous,@gotk7418,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,love new jean,@viebohemeduchili9741,3,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,624m ep get pasa semana consecutiva número lista billboard álbumes mundiales puesto nj grupo femenino mayor ranking daily top artist global spoty puesto álbum debut convierte álbum grupo femenino ma rápido supera 510m reproducciones melon dia,@lizzyoregel5841,0,0
NewJeans (뉴진스) 'ETA' Official MV,65306979,1216925,30602,lumen support new jean eta x karma,@Dees080,1,0
